frame_id,mean_motion,variance_motion,normal_alert,medium_alert,high_alert
0,0.21871747,0.18178903,1,0,0
1,0.23809801,0.19224116,0,1,0
2,0.22708109,0.17636132,0,1,0
3,0.23546392,0.16665705,0,1,0
4,0.22261727,0.17032549,0,1,0
5,0.2149306,0.16347882,1,0,0
6,0.22840409,0.14365184,0,1,0
7,0.2054468,0.13648416,1,0,0
8,0.19356237,0.12354688,1,0,0
9,0.21062607,0.11473807,1,0,0
10,0.20289314,0.13827904,1,0,0
11,0.20368873,0.1368757,1,0,0
12,0.20946614,0.15093361,1,0,0
13,0.2268561,0.17521468,0,1,0
14,0.24910161,0.13416706,0,1,0
15,0.22156934,0.1379727,0,1,0
16,0.22943883,0.14050116,0,1,0
17,0.23919001,0.16838625,0,1,0
18,0.24437638,0.21687406,0,1,0
19,0.24513677,0.17562324,0,1,0
20,0.22956654,0.25000203,0,1,0
21,0.2186081,0.19877248,1,0,0
22,0.2388866,0.23839112,0,1,0
23,0.22440188,0.20319475,0,1,0
24,0.22508729,0.20358019,0,1,0
25,0.24393506,0.23797388,0,1,0
26,0.25445065,0.23101343,0,1,0
27,0.24094056,0.21542633,0,1,0
28,0.22634196,0.19149074,0,1,0
29,0.20380734,0.15714572,1,0,0
30,0.18815337,0.13737337,1,0,0
31,0.18993118,0.13096137,1,0,0
32,0.18794933,0.14073585,1,0,0
33,0.19959238,0.15722641,1,0,0
34,0.2275605,0.1689594,0,1,0
35,0.21620643,0.2227081,1,0,0
36,0.23947518,0.25206414,0,1,0
37,0.23525365,0.24334358,0,1,0
38,0.24086934,0.17817298,0,1,0
39,0.2072662,0.16166063,1,0,0
40,0.2344384,0.15122482,0,1,0
41,0.2263795,0.15479904,0,1,0
42,0.22466066,0.17288736,0,1,0
43,0.22514628,0.18693766,0,1,0
44,0.23214099,0.20808852,0,1,0
45,0.22670498,0.19196957,0,1,0
46,0.25197574,0.25109982,0,1,0
47,0.260921,0.27192163,0,1,0
48,0.25086936,0.22848766,0,1,0
49,0.27864534,0.23161301,0,1,0
50,0.2270652,0.20017585,0,1,0
51,0.19581711,0.13731986,1,0,0
52,0.22164096,0.13496664,0,1,0
53,0.20817623,0.14757825,1,0,0
54,0.21923935,0.17670242,1,0,0
55,0.23259455,0.18487355,0,1,0
56,0.21637243,0.18107799,1,0,0
57,0.2325058,0.16155076,0,1,0
58,0.19330028,0.12181132,1,0,0
59,0.22387126,0.1296546,0,1,0
60,0.1949895,0.11935745,1,0,0
61,0.21115278,0.16259882,1,0,0
62,0.21266226,0.1632447,1,0,0
63,0.23708668,0.17960128,0,1,0
64,0.23614912,0.18362212,0,1,0
65,0.2490514,0.20916024,0,1,0
66,0.24203095,0.21337606,0,1,0
67,0.22698425,0.19658522,0,1,0
68,0.22837423,0.19635652,0,1,0
69,0.24466766,0.19670974,0,1,0
70,0.25477475,0.20408264,0,1,0
71,0.2740403,0.26132765,0,1,0
72,0.2743369,0.22022453,0,1,0
73,0.24076276,0.19587822,0,1,0
74,0.25165316,0.19840081,0,1,0
75,0.22191373,0.17225577,0,1,0
76,0.21876907,0.16521364,1,0,0
77,0.19702798,0.12663445,1,0,0
78,0.21270053,0.11619143,1,0,0
79,0.22577174,0.14402847,0,1,0
80,0.2718061,0.15340465,0,1,0
81,0.2285311,0.1615285,0,1,0
82,0.23916717,0.15601754,0,1,0
83,0.23140348,0.15349224,0,1,0
84,0.23412453,0.13324067,0,1,0
85,0.23633057,0.13096504,0,1,0
86,0.22772004,0.14662111,0,1,0
87,0.2207389,0.13894282,0,1,0
88,0.21079335,0.13411757,1,0,0
89,0.22663556,0.12478409,0,1,0
90,0.21358228,0.09827047,1,0,0
91,0.21340835,0.076682806,1,0,0
92,0.19670346,0.08671222,1,0,0
93,0.19003975,0.084650636,1,0,0
94,0.20799568,0.11776476,1,0,0
95,0.20690563,0.11085683,1,0,0
96,0.21901512,0.09288443,1,0,0
97,0.21452576,0.101044275,1,0,0
98,0.2212886,0.107955486,0,1,0
99,0.22125518,0.112526156,0,1,0
100,0.1952217,0.13092887,1,0,0
101,0.23430598,0.13293205,0,1,0
102,0.1861661,0.104495965,1,0,0
103,0.16983451,0.08726904,1,0,0
104,0.19783393,0.0960611,1,0,0
105,0.16803437,0.08295657,1,0,0
106,0.1885065,0.0805115,1,0,0
107,0.22476146,0.089854084,0,1,0
108,0.21662672,0.11716521,1,0,0
109,0.19811542,0.114867285,1,0,0
110,0.20740885,0.108257145,1,0,0
111,0.197925,0.121095024,1,0,0
112,0.19979931,0.11799553,1,0,0
113,0.1801636,0.09244041,1,0,0
114,0.19020411,0.084671475,1,0,0
115,0.2063307,0.09694224,1,0,0
116,0.18841635,0.13268884,1,0,0
117,0.2049759,0.14359906,1,0,0
118,0.22084038,0.14749847,0,1,0
119,0.21500847,0.13551587,1,0,0
120,0.20802069,0.11778318,1,0,0
121,0.1982019,0.09780723,1,0,0
122,0.20671329,0.10924829,1,0,0
123,0.18529989,0.117412895,1,0,0
124,0.20362562,0.090194605,1,0,0
125,0.17851248,0.07799996,1,0,0
126,0.20100933,0.089703426,1,0,0
127,0.21299683,0.09740805,1,0,0
128,0.20137632,0.08505344,1,0,0
129,0.19033585,0.08584059,1,0,0
130,0.20504904,0.08627611,1,0,0
131,0.23115453,0.11419177,0,1,0
132,0.21095835,0.13109393,1,0,0
133,0.22655652,0.12693967,0,1,0
134,0.22234106,0.111429736,0,1,0
135,0.23723322,0.104384266,0,1,0
136,0.19256698,0.09109798,1,0,0
137,0.2103414,0.10754981,1,0,0
138,0.20810641,0.12290965,1,0,0
139,0.23063041,0.112749025,0,1,0
140,0.20781279,0.122142054,1,0,0
141,0.22812891,0.1296115,0,1,0
142,0.21820907,0.11910908,1,0,0
143,0.2375266,0.124007046,0,1,0
144,0.23816538,0.12260287,0,1,0
145,0.2546059,0.13450004,0,1,0
146,0.23692024,0.14267284,0,1,0
147,0.23577985,0.13573322,0,1,0
148,0.21627279,0.1295201,1,0,0
149,0.27731887,0.10111931,0,1,0
150,0.23299447,0.107422054,0,1,0
151,0.24223591,0.123795345,0,1,0
152,0.22138287,0.12599716,0,1,0
153,0.22164856,0.113892555,0,1,0
154,0.20646851,0.10614798,1,0,0
155,0.21118663,0.10625316,1,0,0
156,0.18682519,0.09096033,1,0,0
157,0.21551277,0.11186166,1,0,0
158,0.18078618,0.09083838,1,0,0
159,0.16724013,0.10254467,1,0,0
160,0.16805941,0.09778301,1,0,0
161,0.17266586,0.083575614,1,0,0
162,0.18995494,0.090441555,1,0,0
163,0.1875118,0.08958797,1,0,0
164,0.19488421,0.094975844,1,0,0
165,0.19242436,0.1100308,1,0,0
166,0.18779786,0.09348145,1,0,0
167,0.17730796,0.08167112,1,0,0
168,0.18671125,0.1268357,1,0,0
169,0.17392494,0.09939556,1,0,0
170,0.18847278,0.12357498,1,0,0
171,0.19017221,0.085899845,1,0,0
172,0.19948208,0.0825635,1,0,0
173,0.18652192,0.080629386,1,0,0
174,0.21745959,0.08673014,1,0,0
175,0.19128792,0.09808126,1,0,0
176,0.17806578,0.09054262,1,0,0
177,0.18091021,0.08331795,1,0,0
178,0.17282149,0.08636853,1,0,0
179,0.18065505,0.09537504,1,0,0
180,0.18741634,0.08451689,1,0,0
181,0.20735164,0.122288056,1,0,0
182,0.18336743,0.119188614,1,0,0
183,0.17511329,0.0986923,1,0,0
184,0.16627507,0.092663914,1,0,0
185,0.19336183,0.10874304,1,0,0
186,0.184166,0.12933771,1,0,0
187,0.19915447,0.1386669,1,0,0
188,0.23037575,0.17631285,0,1,0
189,0.24814916,0.21008404,0,1,0
190,0.22325926,0.15746962,0,1,0
191,0.22002055,0.14048366,1,0,0
192,0.23000263,0.15134197,0,1,0
193,0.20272876,0.15294585,1,0,0
194,0.20521587,0.13776942,1,0,0
195,0.20265266,0.14758898,1,0,0
196,0.19852237,0.14707841,1,0,0
197,0.2146533,0.13160458,1,0,0
198,0.19020349,0.10722167,1,0,0
199,0.1938197,0.09228977,1,0,0
200,0.19503893,0.08608769,1,0,0
201,0.20803581,0.108638346,1,0,0
202,0.21234976,0.12611535,1,0,0
203,0.21864527,0.12729971,1,0,0
204,0.2311117,0.13226819,0,1,0
205,0.22486936,0.12853974,0,1,0
206,0.22358693,0.12879907,0,1,0
207,0.1949883,0.12434715,1,0,0
208,0.21083622,0.14558029,1,0,0
209,0.19510642,0.13732898,1,0,0
210,0.20706815,0.14160202,1,0,0
211,0.18581788,0.08811656,1,0,0
212,0.18387276,0.096731946,1,0,0
213,0.20243967,0.106803134,1,0,0
214,0.18891187,0.10811935,1,0,0
215,0.20964402,0.119657375,1,0,0
216,0.21178353,0.13854432,1,0,0
217,0.2376136,0.13820152,0,1,0
218,0.1979319,0.1396242,1,0,0
219,0.19371645,0.14083989,1,0,0
220,0.17758773,0.102423005,1,0,0
221,0.17043346,0.08085549,1,0,0
222,0.19289173,0.08814268,1,0,0
223,0.18849812,0.09040472,1,0,0
224,0.20347932,0.123860806,1,0,0
225,0.21848226,0.1410982,1,0,0
226,0.22287488,0.14553316,0,1,0
227,0.2143569,0.15125494,1,0,0
228,0.22950007,0.17794587,0,1,0
229,0.23410642,0.17265315,0,1,0
230,0.26765364,0.18094575,0,1,0
231,0.22760239,0.17628063,0,1,0
232,0.20781288,0.13982497,1,0,0
233,0.19947876,0.13071333,1,0,0
234,0.19182678,0.12199134,1,0,0
235,0.19638044,0.12093291,1,0,0
236,0.2066345,0.13748,1,0,0
237,0.2545309,0.18952021,0,1,0
238,0.2818962,0.2306796,0,1,0
239,0.30263394,0.3482071,0,1,0
240,0.35435078,0.4569831,0,1,0
241,0.3735212,0.5846836,0,1,0
242,0.36968476,0.54790825,0,1,0
243,0.4199703,0.7297173,0,0,1
244,0.48201117,0.85449576,0,0,1
245,0.5566337,1.1258558,0,0,1
246,0.5663193,1.2521464,0,0,1
247,0.66426116,1.6100059,0,0,1
248,0.77765673,2.432185,0,0,1
249,0.8853983,2.35347,0,0,1
250,0.8245012,2.135239,0,0,1
251,0.9680836,3.0757425,0,0,1
252,1.0098029,3.3447993,0,0,1
253,0.95399,2.800516,0,0,1
254,0.8734397,2.661849,0,0,1
255,1.0388029,3.7209928,0,0,1
256,1.1873436,4.803812,0,0,1
257,1.45557,5.919535,0,0,1
258,1.5543238,5.972397,0,0,1
259,1.7345862,7.7758985,0,0,1
260,1.4633262,5.213482,0,0,1
261,1.4529244,5.6556306,0,0,1
262,1.8435409,7.4766603,0,0,1
263,1.5785906,7.1764436,0,0,1
264,1.6485788,7.738447,0,0,1
265,2.0580964,12.065449,0,0,1
266,1.5167513,6.02959,0,0,1
267,1.6738694,7.375018,0,0,1
268,1.8762628,10.032541,0,0,1
269,1.7071279,8.373874,0,0,1
270,1.6808034,7.872894,0,0,1
271,1.7555554,7.931438,0,0,1
272,1.6522726,7.413436,0,0,1
273,1.318146,5.6833286,0,0,1
274,1.5796956,8.096297,0,0,1
275,1.4387698,7.231816,0,0,1
276,1.3625945,7.37494,0,0,1
277,1.2716007,6.621537,0,0,1
278,1.2156736,6.544815,0,0,1
279,1.1026095,6.0828915,0,0,1
280,1.0855818,5.9608054,0,0,1
281,0.93505126,4.367496,0,0,1
282,0.98225045,5.191327,0,0,1
283,0.86485106,4.767444,0,0,1
284,0.7898454,3.9766943,0,0,1
285,0.8367632,4.642785,0,0,1
286,0.7980606,4.384569,0,0,1
287,0.81922895,4.595175,0,0,1
288,0.6466222,3.297898,0,0,1
289,0.5445264,2.2917995,0,0,1
290,0.42908555,2.3749645,0,0,1
291,0.38183016,2.661659,0,1,0
292,0.20371121,0.75175494,1,0,0
293,0.28539577,1.4542972,0,1,0
294,0.15253678,0.6148781,1,0,0
295,0.11438146,0.28403836,1,0,0
296,0.114012845,0.26066494,1,0,0
297,0.11976026,0.37263602,1,0,0
298,0.13084835,0.62601614,1,0,0
299,0.17046872,0.29638568,1,0,0
